time             ,language   ,distributed,seed,hidden,rate,momentum,ticks,rand_range,num_train,boundary_precision,boundary_recall,boundary_F,word_precision,word_recall,word_F,expA_accuracy,expB_accuracy,expA_std,expB_std
03/28 at 20:04:13,danish     ,False      ,0.0 ,70.0  ,0.07,0.95    ,1.0  ,0.32      ,696692.0 ,0.663             ,0.59           ,0.624     ,0.293         ,0.261      ,0.276 ,0.746        ,0.796        ,0.068   ,0.066   
03/28 at 20:04:43,danish     ,False      ,0.0 ,70.0  ,0.07,0.95    ,1.0  ,0.32      ,69669.0  ,0.631             ,0.619          ,0.625     ,0.359         ,0.352      ,0.355 ,0.762        ,0.785        ,0.069   ,0.066   
03/28 at 20:08:34,danish     ,False      ,0.0 ,70.0  ,0.07,0.98    ,1.0  ,0.18      ,696692.0 ,0.605             ,0.668          ,0.635     ,0.319         ,0.352      ,0.334 ,0.605        ,0.679        ,0.079   ,0.076   
03/28 at 20:09:04,danish     ,False      ,0.0 ,70.0  ,0.07,0.98    ,1.0  ,0.18      ,69669.0  ,0.521             ,0.723          ,0.606     ,0.256         ,0.355      ,0.297 ,0.629        ,0.672        ,0.078   ,0.075   
03/28 at 20:12:55,danish     ,False      ,0.0 ,70.0  ,0.07,0.98    ,1.0  ,0.25      ,696692.0 ,0.577             ,0.779          ,0.663     ,0.321         ,0.433      ,0.369 ,0.593        ,0.577        ,0.084   ,0.081   
03/28 at 20:13:26,danish     ,False      ,0.0 ,70.0  ,0.07,0.98    ,1.0  ,0.25      ,69669.0  ,0.481             ,0.831          ,0.609     ,0.192         ,0.332      ,0.244 ,0.701        ,0.648        ,0.074   ,0.078   
03/28 at 20:17:17,danish     ,False      ,0.0 ,70.0  ,0.07,0.98    ,1.0  ,0.32      ,696692.0 ,0.617             ,0.801          ,0.697     ,0.373         ,0.485      ,0.422 ,0.516        ,0.644        ,0.082   ,0.078   
03/28 at 20:17:47,danish     ,False      ,0.0 ,70.0  ,0.07,0.98    ,1.0  ,0.32      ,69669.0  ,0.438             ,0.893          ,0.588     ,0.125         ,0.254      ,0.167 ,0.654        ,0.594        ,0.076   ,0.082   
03/28 at 20:21:39,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.92    ,1.0  ,0.18      ,696692.0 ,0.646             ,0.554          ,0.596     ,0.3           ,0.257      ,0.277 ,0.792        ,0.731        ,0.063   ,0.07    
03/28 at 20:22:09,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.92    ,1.0  ,0.18      ,69669.0  ,0.655             ,0.625          ,0.64      ,0.365         ,0.349      ,0.357 ,0.746        ,0.754        ,0.07    ,0.069   
