language,boundary-precision,boundary-recall,boundary-F,word-precision,word-recall,word-F,subject,expA-accuracy,expB-incorrect                                                                     ,expB-accuracy,expA-incorrect                                                                                                     
english ,0.684             ,0.799          ,0.737     ,0.386         ,0.451      ,0.416 ,24     ,0.611        ,"[0, 1, 2, 7, 9, 12, 17, 18, 20, 24, 28, 31, 35]                                  ",0.639        ,"[0, 1, 4, 9, 11, 12, 16, 19, 20, 27, 29, 30, 32, 35]              "                                               
english ,0.689             ,0.778          ,0.731     ,0.396         ,0.447      ,0.42  ,25     ,0.611        ,"[0, 1, 3, 5, 7, 11, 12, 14, 17, 24, 30, 33, 35]                                  ",0.639        ,"[2, 5, 6, 10, 13, 20, 25, 27, 29, 30, 31, 32, 33, 35]             "                                               
english ,0.679             ,0.765          ,0.719     ,0.397         ,0.447      ,0.421 ,26     ,0.556        ,"[1, 3, 5, 14, 17, 18, 19, 21, 22, 23, 25, 26, 30, 31, 34]                        ",0.583        ,"[1, 2, 3, 4, 6, 7, 9, 14, 19, 20, 22, 24, 27, 28, 30, 31]         "                                               
english ,0.685             ,0.751          ,0.717     ,0.405         ,0.444      ,0.423 ,27     ,0.667        ,"[2, 5, 6, 10, 11, 12, 13, 17, 18, 19, 24, 26, 28, 29, 30, 33]                    ",0.556        ,"[0, 1, 2, 13, 14, 16, 17, 25, 29, 31, 34, 35]                     "                                               
danish  ,0.629             ,0.629          ,0.629     ,0.326         ,0.326      ,0.326 ,0      ,0.694        ,"[0, 1, 3, 4, 5, 7, 14, 15, 23, 25, 26, 29, 35]                                   ",0.639        ,"[1, 3, 8, 10, 15, 23, 26, 29, 30, 33, 35]                         "                                               
danish  ,0.616             ,0.59           ,0.602     ,0.286         ,0.274      ,0.28  ,1      ,0.694        ,"[4, 8, 11, 14, 24, 25, 28, 31]                                                   ",0.778        ,"[0, 10, 13, 15, 16, 20, 24, 25, 30, 32, 35]                       "                                               
danish  ,0.66              ,0.619          ,0.639     ,0.319         ,0.3        ,0.309 ,2      ,0.639        ,"[3, 4, 5, 6, 8, 10, 11, 18, 21, 22, 23, 27, 31, 33, 34]                          ",0.583        ,"[0, 1, 3, 7, 10, 16, 18, 21, 24, 28, 29, 34, 35]                  "                                               
danish  ,0.623             ,0.586          ,0.604     ,0.28          ,0.264      ,0.272 ,3      ,0.694        ,"[1, 2, 7, 8, 9, 10, 11, 14, 16, 21, 23, 32, 33]                                  ",0.639        ,"[1, 2, 4, 8, 13, 19, 26, 29, 30, 34, 35]                          "                                               
danish  ,0.701             ,0.625          ,0.661     ,0.354         ,0.316      ,0.334 ,4      ,0.75         ,"[2, 7, 8, 12, 13, 19, 25, 26, 28, 33, 34]                                        ",0.694        ,"[0, 1, 2, 4, 10, 14, 19, 20, 34]                                  "                                               
danish  ,0.697             ,0.674          ,0.685     ,0.397         ,0.384      ,0.391 ,5      ,0.667        ,"[4, 8, 10, 14, 19, 22, 23, 25, 26, 27, 31, 32, 33]                               ",0.639        ,"[4, 13, 16, 19, 20, 21, 25, 26, 27, 30, 31, 34]                   "                                               
danish  ,0.603             ,0.583          ,0.593     ,0.279         ,0.27       ,0.275 ,6      ,0.694        ,"[1, 2, 3, 4, 5, 19, 25, 27, 28, 31, 35]                                          ",0.694        ,"[3, 10, 13, 14, 19, 22, 23, 25, 28, 30, 35]                       "                                               
danish  ,0.654             ,0.58           ,0.615     ,0.294         ,0.261      ,0.276 ,7      ,0.75         ,"[4, 13, 16, 21, 26, 28, 30, 33]                                                  ",0.778        ,"[1, 8, 11, 17, 26, 27, 29, 33, 34]                                "                                               
danish  ,0.57              ,0.554          ,0.562     ,0.238         ,0.231      ,0.235 ,8      ,0.667        ,"[1, 5, 10, 12, 13, 14, 25, 27, 29, 34]                                           ",0.722        ,"[13, 14, 16, 17, 18, 20, 22, 27, 29, 31, 33, 35]                  "                                               
danish  ,0.638             ,0.671          ,0.654     ,0.325         ,0.342      ,0.333 ,9      ,0.75         ,"[2, 4, 5, 7, 12, 20, 22, 24, 25, 29, 30, 34]                                     ",0.667        ,"[2, 14, 17, 21, 24, 29, 32, 33, 34]                               "                                               
danish  ,0.645             ,0.733          ,0.686     ,0.378         ,0.43       ,0.402 ,10     ,0.75         ,"[0, 3, 7, 12, 13, 18, 19, 24, 25, 26, 29, 35]                                    ",0.667        ,"[0, 4, 8, 9, 12, 16, 18, 26, 33]                                  "                                               
danish  ,0.659             ,0.58           ,0.617     ,0.285         ,0.251      ,0.267 ,11     ,0.667        ,"[3, 6, 9, 14, 20, 25, 26, 29, 35]                                                ",0.75         ,"[1, 2, 3, 5, 10, 12, 14, 16, 22, 23, 26, 32]                      "                                               
danish  ,0.62              ,0.664          ,0.642     ,0.31          ,0.332      ,0.321 ,12     ,0.861        ,"[1, 2, 11, 14, 29, 33, 34]                                                       ",0.806        ,"[0, 8, 28, 31, 34]                                                "                                               
danish  ,0.631             ,0.55           ,0.588     ,0.287         ,0.251      ,0.268 ,13     ,0.694        ,"[1, 9, 19, 25, 30, 35]                                                           ",0.833        ,"[2, 3, 5, 12, 14, 15, 17, 20, 29, 32, 33]                         "                                               
danish  ,0.645             ,0.629          ,0.637     ,0.328         ,0.319      ,0.323 ,14     ,0.694        ,"[3, 5, 7, 8, 11, 13, 14, 19, 20, 25, 26, 29, 32]                                 ",0.639        ,"[6, 8, 10, 14, 23, 24, 28, 29, 33, 34, 35]                        "                                               
danish  ,0.608             ,0.541          ,0.572     ,0.245         ,0.218      ,0.231 ,15     ,0.694        ,"[4, 8, 9, 10, 20, 22, 23, 26, 27, 28, 29]                                        ",0.694        ,"[5, 9, 10, 14, 16, 21, 23, 26, 28, 34, 35]                        "                                               
danish  ,0.643             ,0.557          ,0.597     ,0.312         ,0.27       ,0.29  ,16     ,0.861        ,"[0, 1, 2, 4, 6, 7, 8, 10, 14, 18, 19, 20, 21, 22, 23, 25, 26, 28, 31, 33, 34, 35]",0.389        ,"[22, 30, 31, 34, 35]                                              "                                               
danish  ,0.65              ,0.629          ,0.639     ,0.327         ,0.316      ,0.321 ,17     ,0.583        ,"[5, 18, 19, 30, 35]                                                              ",0.861        ,"[4, 5, 6, 8, 10, 11, 14, 18, 21, 23, 24, 26, 27, 31, 34]          "                                               
danish  ,0.632             ,0.638          ,0.635     ,0.316         ,0.319      ,0.318 ,18     ,0.806        ,"[5, 13, 14, 15, 17, 19, 20, 23, 24, 25, 27, 30, 34, 35]                          ",0.611        ,"[10, 17, 19, 29, 30, 32, 33]                                      "                                               
danish  ,0.709             ,0.697          ,0.703     ,0.437         ,0.43       ,0.433 ,19     ,0.722        ,"[0, 6, 10, 15, 17, 21, 23, 26, 27, 31, 32, 35]                                   ",0.667        ,"[4, 8, 9, 11, 13, 18, 26, 29, 30, 33]                             "                                               
danish  ,0.643             ,0.629          ,0.636     ,0.3           ,0.293      ,0.297 ,20     ,0.806        ,"[1, 2, 8, 11, 16, 19, 21, 23, 24, 25, 26, 29, 30]                                ",0.639        ,"[4, 13, 19, 23, 29, 30, 35]                                       "                                               
danish  ,0.61              ,0.606          ,0.608     ,0.302         ,0.3        ,0.301 ,21     ,0.778        ,"[0, 2, 7, 11, 14, 21, 24, 26, 28, 31, 32, 33, 34]                                ",0.639        ,"[2, 4, 18, 23, 30, 32, 33, 34]                                    "                                               
danish  ,0.68              ,0.603          ,0.639     ,0.364         ,0.322      ,0.342 ,22     ,0.889        ,"[2, 13, 18, 22, 26, 34, 35]                                                      ",0.806        ,"[13, 16, 23, 35]                                                  "                                               
danish  ,0.607             ,0.638          ,0.622     ,0.279         ,0.293      ,0.286 ,23     ,0.528        ,"[2, 8, 13, 18, 20, 21, 23, 24, 26, 30, 34]                                       ",0.694        ,"[0, 3, 11, 12, 14, 16, 18, 19, 20, 21, 23, 25, 27, 29, 32, 33, 34]"                                               
danish  ,0.656             ,0.629          ,0.642     ,0.303         ,0.29       ,0.296 ,24     ,0.667        ,"[0, 2, 8, 15, 20, 25, 26, 31, 32]                                                ",0.75         ,"[2, 3, 5, 8, 10, 16, 17, 18, 21, 24, 34, 35]                      "                                               
danish  ,0.625             ,0.544          ,0.582     ,0.3           ,0.261      ,0.279 ,25     ,0.667        ,"[5, 10, 11, 13, 14, 15, 17, 18, 20, 21, 29, 31, 34]                              ",0.639        ,"[0, 1, 2, 6, 10, 13, 19, 25, 29, 31, 34, 35]                      "                                               
danish  ,0.611             ,0.547          ,0.577     ,0.32          ,0.287      ,0.302 ,26     ,0.694        ,"[4, 8, 10, 12, 15, 16, 20, 21, 26, 29, 30, 31, 34]                               ",0.639        ,"[10, 16, 17, 18, 19, 21, 23, 25, 27, 28, 32]                      "                                               
danish  ,0.732             ,0.694          ,0.712     ,0.392         ,0.371      ,0.381 ,27     ,0.806        ,"[0, 7, 10, 11, 12, 16, 23, 32, 33, 34, 35]                                       ",0.694        ,"[10, 14, 20, 25, 28, 29, 32]                                      "                                               
