language   ,word,subj,condition,error ,type  
english,18  ,0   ,B  ,13.976,target
english,19  ,0   ,B  ,28.76 ,foil  
english,20  ,0   ,B  ,43.709,foil  
english,21  ,0   ,B  ,13.182,target
english,22  ,0   ,B  ,8.431 ,target
english,23  ,0   ,B  ,22.136,foil  
english,24  ,0   ,B  ,11.152,foil  
english,25  ,0   ,B  ,7.257 ,target
english,26  ,0   ,B  ,15.842,foil  
english,27  ,0   ,B  ,7.583 ,target
english,28  ,0   ,B  ,14.743,foil  
english,29  ,0   ,B  ,9.372 ,target
english,30  ,0   ,B  ,13.719,target
english,31  ,0   ,B  ,29.859,foil  
english,32  ,0   ,B  ,4.995 ,target
english,33  ,0   ,B  ,37.777,foil  
english,34  ,0   ,B  ,17.914,foil  
english,35  ,0   ,B  ,6.261 ,target
english,36  ,0   ,B  ,7.428 ,target
english,37  ,0   ,B  ,9.155 ,foil  
english,38  ,0   ,B  ,14.995,foil  
english,39  ,0   ,B  ,8.517 ,target
english,40  ,0   ,B  ,13.891,foil  
english,41  ,0   ,B  ,13.41 ,target
english,42  ,0   ,B  ,25.447,foil  
english,43  ,0   ,B  ,8.642 ,target
english,44  ,0   ,B  ,3.056 ,target
english,45  ,0   ,B  ,35.008,foil  
english,46  ,0   ,B  ,8.373 ,target
english,47  ,0   ,B  ,13.21 ,foil  
english,48  ,0   ,B  ,10.619,target
english,49  ,0   ,B  ,6.128 ,foil  
english,50  ,0   ,B  ,11.095,target
english,51  ,0   ,B  ,11.167,foil  
english,52  ,0   ,B  ,15.263,foil  
english,53  ,0   ,B  ,6.693 ,target
english,54  ,0   ,B  ,22.678,foil  
english,55  ,0   ,B  ,19.817,target
english,56  ,0   ,B  ,4.373 ,target
english,57  ,0   ,B  ,30.761,foil  
english,58  ,0   ,B  ,11.956,foil  
english,59  ,0   ,B  ,6.927 ,target
english,60  ,0   ,B  ,10.336,target
english,61  ,0   ,B  ,6.457 ,foil  
english,62  ,0   ,B  ,7.298 ,target
english,63  ,0   ,B  ,12.29 ,foil  
english,64  ,0   ,B  ,5.984 ,target
english,65  ,0   ,B  ,15.741,foil  
english,66  ,0   ,B  ,21.227,foil  
english,67  ,0   ,B  ,20.445,target
english,68  ,0   ,B  ,19.899,foil  
english,69  ,0   ,B  ,5.237 ,target
english,70  ,0   ,B  ,15.275,target
english,71  ,0   ,B  ,13.477,foil  
english,0   ,1   ,A  ,39.052,foil  
english,1   ,1   ,A  ,19.272,target
english,2   ,1   ,A  ,18.652,target
english,3   ,1   ,A  ,30.221,foil  
english,4   ,1   ,A  ,16.853,target
english,5   ,1   ,A  ,20.205,foil  
english,6   ,1   ,A  ,13.25 ,target
english,7   ,1   ,A  ,54.412,foil  
english,8   ,1   ,A  ,33.081,foil  
english,9   ,1   ,A  ,30.628,target
english,10  ,1   ,A  ,30.793,foil  
english,11  ,1   ,A  ,16.101,target
english,12  ,1   ,A  ,20.77 ,foil  
english,13  ,1   ,A  ,7.137 ,target
english,14  ,1   ,A  ,13.852,foil  
english,15  ,1   ,A  ,5.428 ,target
english,16  ,1   ,A  ,16.221,target
english,17  ,1   ,A  ,14.274,foil  
english,18  ,1   ,A  ,8.82  ,target
english,19  ,1   ,A  ,28.976,foil  
english,20  ,1   ,A  ,26.955,foil  
english,21  ,1   ,A  ,24.37 ,target
english,22  ,1   ,A  ,5.996 ,target
english,23  ,1   ,A  ,21.906,foil  
english,24  ,1   ,A  ,16.466,foil  
english,25  ,1   ,A  ,4.494 ,target
english,26  ,1   ,A  ,9.189 ,foil  
english,27  ,1   ,A  ,12.822,target
english,28  ,1   ,A  ,13.797,foil  
english,29  ,1   ,A  ,7.447 ,target
english,30  ,1   ,A  ,13.845,target
english,31  ,1   ,A  ,22.686,foil  
english,32  ,1   ,A  ,4.561 ,target
english,33  ,1   ,A  ,18.406,foil  
english,34  ,1   ,A  ,18.734,foil  
english,35  ,1   ,A  ,10.996,target
english,36  ,1   ,A  ,11.15 ,target
english,37  ,1   ,A  ,15.503,foil  
english,38  ,1   ,A  ,7.304 ,foil  
english,39  ,1   ,A  ,7.24  ,target
english,40  ,1   ,A  ,13.297,foil  
english,41  ,1   ,A  ,14.236,target
english,42  ,1   ,A  ,19.48 ,foil  
english,43  ,1   ,A  ,5.09  ,target
english,44  ,1   ,A  ,5.698 ,target
english,45  ,1   ,A  ,15.524,foil  
english,46  ,1   ,A  ,6.126 ,target
