language,boundary-precision,boundary-recall,boundary-F,word-precision,word-recall,word-F,subject,expA-accuracy,expB-incorrect                                           ,expB-accuracy,expA-incorrect                                                                                                     
english ,0.685             ,0.823          ,0.747     ,0.403         ,0.485      ,0.44  ,0      ,0.694        ,"[0, 1, 2, 5, 8, 10, 11, 12, 16, 20, 27, 30, 31, 32]    ",0.611        ,"[4, 5, 6, 8, 14, 16, 20, 21, 22, 26, 32]                                     "
english ,0.698             ,0.788          ,0.74      ,0.411         ,0.464      ,0.436 ,1      ,0.611        ,"[10, 11, 13, 15, 17, 18, 21, 23, 24, 30, 31, 34, 35]   ",0.639        ,"[6, 9, 10, 12, 14, 16, 17, 19, 20, 21, 26, 27, 34, 35]                       "
english ,0.728             ,0.785          ,0.755     ,0.437         ,0.471      ,0.453 ,2      ,0.667        ,"[5, 10, 12, 13, 15, 19, 24, 25, 27, 33]                ",0.722        ,"[3, 4, 7, 9, 13, 16, 20, 26, 27, 29, 31, 33]                                 "
english ,0.709             ,0.717          ,0.713     ,0.382         ,0.386      ,0.384 ,3      ,0.611        ,"[2, 5, 11, 12, 17, 20, 23, 24, 27, 28, 30, 32, 34, 35] ",0.611        ,"[0, 2, 3, 5, 6, 9, 12, 14, 16, 19, 21, 26, 31, 35]                           "
english ,0.718             ,0.782          ,0.748     ,0.423         ,0.461      ,0.441 ,4      ,0.5          ,"[2, 3, 6, 8, 13, 19, 21, 26, 28, 29]                   ",0.722        ,"[1, 2, 4, 5, 8, 9, 10, 18, 19, 20, 23, 24, 25, 27, 31, 32, 33, 35]           "
english ,0.706             ,0.785          ,0.743     ,0.439         ,0.488      ,0.462 ,5      ,0.694        ,"[7, 11, 13, 16, 19, 21, 23, 32, 34]                    ",0.75         ,"[0, 2, 8, 10, 12, 17, 20, 23, 25, 26, 31]                                    "
english ,0.742             ,0.785          ,0.763     ,0.487         ,0.515      ,0.501 ,6      ,0.694        ,"[0, 6, 9, 17, 24, 26, 27, 29, 31, 33, 35]              ",0.694        ,"[3, 13, 14, 20, 23, 24, 25, 26, 28, 29, 33]                                  "
english ,0.709             ,0.792          ,0.748     ,0.446         ,0.498      ,0.471 ,7      ,0.694        ,"[0, 4, 6, 9, 15, 17, 20, 27, 29, 33]                   ",0.722        ,"[6, 8, 10, 11, 12, 14, 17, 19, 31, 32, 33]                                   "
english ,0.672             ,0.782          ,0.722     ,0.349         ,0.406      ,0.375 ,8      ,0.861        ,"[2, 4, 6, 11, 13, 14, 18, 26, 28, 29]                  ",0.722        ,"[2, 4, 16, 19, 30]                                                           "
english ,0.706             ,0.747          ,0.726     ,0.429         ,0.454      ,0.441 ,9      ,0.722        ,"[5, 6, 12, 18, 24, 25, 27, 28, 29, 31]                 ",0.722        ,"[10, 11, 12, 16, 18, 20, 23, 28, 29, 31]                                     "
english ,0.646             ,0.778          ,0.706     ,0.337         ,0.406      ,0.368 ,10     ,0.583        ,"[2, 8, 16, 18, 19, 27, 32, 35]                         ",0.778        ,"[0, 4, 5, 9, 14, 15, 19, 20, 21, 23, 24, 25, 27, 32, 34]                     "
english ,0.713             ,0.771          ,0.741     ,0.438         ,0.474      ,0.456 ,11     ,0.694        ,"[1, 2, 5, 7, 14, 16, 20, 23, 26, 29, 31]               ",0.694        ,"[5, 9, 13, 14, 19, 22, 23, 27, 28, 32, 35]                                   "
english ,0.689             ,0.747          ,0.717     ,0.399         ,0.433      ,0.416 ,12     ,0.639        ,"[8, 12, 13, 14, 16, 18, 19, 22, 26, 27, 30, 31, 33]    ",0.639        ,"[1, 2, 3, 7, 8, 12, 15, 18, 19, 26, 32, 33, 34]                              "
english ,0.712             ,0.751          ,0.731     ,0.45          ,0.474      ,0.462 ,13     ,0.667        ,"[1, 2, 4, 9, 12, 13, 16, 20, 23, 25, 26, 35]           ",0.667        ,"[1, 2, 6, 7, 8, 10, 13, 15, 18, 26, 27, 34]                                  "
english ,0.714             ,0.802          ,0.756     ,0.426         ,0.478      ,0.45  ,14     ,0.556        ,"[1, 2, 4, 7, 8, 12, 13, 14, 16, 19, 20, 27, 28, 35]    ",0.611        ,"[1, 4, 5, 7, 8, 9, 12, 13, 16, 18, 20, 21, 22, 23, 26, 31]                   "
