language,boundary-precision,boundary-recall,boundary-F,word-precision,word-recall,word-F,subject,expA-accuracy,expB-incorrect                                           ,expB-accuracy,expA-incorrect                                                                                                     
english ,0.784             ,0.768          ,0.776     ,0.47          ,0.461      ,0.466 ,15     ,0.583        ,"[0, 9, 11, 13, 14, 24, 25, 31, 32, 33]                 ",0.722        ,"[2, 4, 6, 13, 16, 19, 23, 24, 26, 27, 28, 32, 33, 34, 35]                    "
english ,0.667             ,0.805          ,0.73      ,0.41          ,0.495      ,0.448 ,16     ,0.694        ,"[3, 5, 6, 7, 10, 18, 20, 25, 31, 34]                   ",0.722        ,"[2, 9, 10, 17, 20, 23, 28, 29, 30, 32, 34]                                   "
english ,0.735             ,0.805          ,0.769     ,0.483         ,0.529      ,0.505 ,17     ,0.667        ,"[0, 2, 5, 11, 13, 14, 15, 20, 23, 24, 27, 29, 30, 34]  ",0.611        ,"[2, 3, 4, 5, 9, 11, 18, 21, 23, 24, 30, 34]                                  "
english ,0.683             ,0.751          ,0.715     ,0.363         ,0.399      ,0.38  ,18     ,0.639        ,"[0, 1, 4, 5, 8, 9, 12, 13, 17, 18, 23, 24, 25, 28, 29] ",0.583        ,"[4, 8, 16, 17, 21, 22, 23, 24, 27, 30, 32, 34, 35]                           "
english ,0.76              ,0.863          ,0.808     ,0.526         ,0.597      ,0.559 ,19     ,0.639        ,"[1, 7, 10, 11, 12, 13, 16, 20, 22, 25, 26, 31, 33]     ",0.639        ,"[2, 6, 10, 14, 17, 19, 20, 23, 26, 28, 30, 31, 32]                           "
english ,0.736             ,0.809          ,0.771     ,0.469         ,0.515      ,0.491 ,20     ,0.639        ,"[5, 12, 15, 17, 20, 21, 25, 29]                        ",0.778        ,"[0, 7, 9, 10, 12, 13, 14, 20, 22, 26, 29, 31, 33]                            "
english ,0.674             ,0.799          ,0.731     ,0.412         ,0.488      ,0.447 ,21     ,0.722        ,"[2, 8, 11, 12, 19, 23, 25, 29, 31]                     ",0.75         ,"[7, 11, 14, 17, 18, 19, 20, 26, 27, 30]                                      "
english ,0.712             ,0.775          ,0.742     ,0.42          ,0.457      ,0.438 ,22     ,0.667        ,"[0, 1, 7, 10, 11, 14, 18, 20, 21, 22, 23, 24, 31, 34]  ",0.611        ,"[0, 5, 7, 10, 13, 16, 20, 25, 28, 31, 32, 33]                                "
english ,0.738             ,0.816          ,0.775     ,0.506         ,0.56       ,0.532 ,23     ,0.639        ,"[4, 10, 11, 13, 16, 27, 29, 30, 31]                    ",0.75         ,"[0, 1, 2, 4, 8, 10, 18, 19, 23, 28, 31, 34, 35]                              "
english ,0.684             ,0.799          ,0.737     ,0.386         ,0.451      ,0.416 ,24     ,0.611        ,"[2, 6, 13, 22, 23, 24, 26, 28, 32, 33, 34, 35]         ",0.667        ,"[3, 4, 6, 8, 10, 13, 16, 17, 20, 22, 25, 29, 32, 33]                         "
english ,0.689             ,0.778          ,0.731     ,0.396         ,0.447      ,0.42  ,25     ,0.5          ,"[5, 6, 8, 11, 12, 13, 15, 23, 29, 30, 32]              ",0.694        ,"[1, 2, 3, 4, 5, 7, 8, 10, 12, 17, 19, 20, 21, 26, 27, 28, 31, 33]            "
english ,0.679             ,0.765          ,0.719     ,0.397         ,0.447      ,0.421 ,26     ,0.583        ,"[2, 4, 7, 8, 10, 11, 13, 21, 31, 35]                   ",0.722        ,"[2, 5, 6, 7, 8, 12, 13, 14, 15, 18, 19, 23, 27, 29, 31]                      "
english ,0.685             ,0.751          ,0.717     ,0.405         ,0.444      ,0.423 ,27     ,0.889        ,"[5, 7, 10, 17, 21, 22, 23, 29, 30, 33, 34, 35]         ",0.667        ,"[10, 16, 19, 31]                                                             "
danish  ,0.629             ,0.629          ,0.629     ,0.326         ,0.326      ,0.326 ,0      ,0.667        ,"[3, 6, 7, 9, 13, 14, 26, 33, 35]                       ",0.75         ,"[1, 6, 10, 12, 13, 19, 21, 24, 25, 26, 33, 35]                               "
danish  ,0.616             ,0.59           ,0.602     ,0.286         ,0.274      ,0.28  ,1      ,0.472        ,"[0, 6, 10, 13, 16, 18, 19, 20, 26, 30, 32, 34]         ",0.667        ,"[0, 1, 2, 3, 6, 7, 10, 12, 13, 17, 18, 21, 23, 25, 26, 27, 30, 31, 32]       "
danish  ,0.66              ,0.619          ,0.639     ,0.319         ,0.3        ,0.309 ,2      ,0.694        ,"[7, 8, 10, 11, 23, 27, 29, 30]                         ",0.778        ,"[5, 8, 12, 16, 22, 23, 25, 28, 31, 32, 34]                                   "
danish  ,0.623             ,0.586          ,0.604     ,0.28          ,0.264      ,0.272 ,3      ,0.556        ,"[1, 7, 9, 19, 23, 25, 27, 28]                          ",0.778        ,"[5, 6, 7, 9, 12, 14, 17, 20, 21, 24, 25, 27, 28, 30, 33, 34]                 "
danish  ,0.701             ,0.625          ,0.661     ,0.354         ,0.316      ,0.334 ,4      ,0.917        ,"[2, 8, 10, 12, 13, 14, 18, 26, 28, 29, 31]             ",0.694        ,"[4, 19, 33]                                                                  "
danish  ,0.697             ,0.674          ,0.685     ,0.397         ,0.384      ,0.391 ,5      ,0.639        ,"[0, 3, 6, 7, 8, 13, 14, 16, 18, 22, 25, 28, 31]        ",0.639        ,"[0, 4, 6, 8, 12, 13, 14, 16, 17, 26, 31, 32, 34]                             "
danish  ,0.603             ,0.583          ,0.593     ,0.279         ,0.27       ,0.275 ,6      ,0.778        ,"[4, 9, 10, 13, 14, 16, 18, 20, 25, 26, 30, 33]         ",0.667        ,"[0, 4, 11, 15, 16, 20, 26, 29]                                               "
danish  ,0.654             ,0.58           ,0.615     ,0.294         ,0.261      ,0.276 ,7      ,0.611        ,"[4, 10, 16, 20, 23, 27, 29, 31, 33]                    ",0.75         ,"[1, 5, 6, 7, 10, 12, 15, 20, 25, 28, 29, 31, 32, 34]                         "
danish  ,0.57              ,0.554          ,0.562     ,0.238         ,0.231      ,0.235 ,8      ,0.583        ,"[1, 4, 6, 9, 10, 13, 24, 25, 29, 30, 34]               ",0.694        ,"[0, 2, 5, 6, 8, 10, 11, 13, 14, 18, 19, 22, 23, 24, 32]                      "
danish  ,0.638             ,0.671          ,0.654     ,0.325         ,0.342      ,0.333 ,9      ,0.722        ,"[5, 11, 14, 15, 16, 19, 21, 24, 26, 27, 30, 32, 33]    ",0.639        ,"[0, 12, 21, 23, 24, 25, 26, 28, 34, 35]                                      "
danish  ,0.645             ,0.733          ,0.686     ,0.378         ,0.43       ,0.402 ,10     ,0.75         ,"[0, 1, 3, 4, 7, 12, 13, 14, 20, 21, 28, 32, 33]        ",0.639        ,"[0, 3, 8, 11, 13, 17, 18, 25, 26]                                            "
danish  ,0.659             ,0.58           ,0.617     ,0.285         ,0.251      ,0.267 ,11     ,0.694        ,"[0, 3, 6, 7, 8, 12, 13, 20, 22, 24, 25, 32, 33, 35]    ",0.611        ,"[0, 4, 7, 8, 9, 12, 16, 22, 26, 32, 33]                                      "
danish  ,0.62              ,0.664          ,0.642     ,0.31          ,0.332      ,0.321 ,12     ,0.889        ,"[0, 2, 5, 7, 15, 18, 20, 24, 32, 33]                   ",0.722        ,"[1, 21, 28, 34]                                                              "
danish  ,0.631             ,0.55           ,0.588     ,0.287         ,0.251      ,0.268 ,13     ,0.778        ,"[1, 3, 8, 10, 13, 16, 20, 26, 33]                      ",0.75         ,"[3, 5, 14, 22, 25, 27, 28, 30]                                               "
danish  ,0.645             ,0.629          ,0.637     ,0.328         ,0.319      ,0.323 ,14     ,0.75         ,"[5, 16, 19, 20, 26, 32, 33]                            ",0.806        ,"[2, 5, 12, 18, 19, 22, 24, 29, 35]                                           "
danish  ,0.608             ,0.541          ,0.572     ,0.245         ,0.218      ,0.231 ,15     ,0.722        ,"[8, 11, 18, 25, 34]                                    ",0.861        ,"[4, 7, 10, 18, 20, 23, 24, 31, 32, 33]                                       "
danish  ,0.643             ,0.557          ,0.597     ,0.312         ,0.27       ,0.29  ,16     ,0.889        ,"[5, 11, 15, 16, 18, 21, 22, 25, 28, 29, 31, 33, 34]    ",0.639        ,"[4, 11, 19, 26]                                                              "
danish  ,0.65              ,0.629          ,0.639     ,0.327         ,0.316      ,0.321 ,17     ,0.417        ,"[2, 5, 11, 14, 19, 20, 22, 23, 26, 27, 30]             ",0.694        ,"[0, 1, 2, 3, 4, 5, 6, 11, 12, 13, 14, 15, 18, 21, 22, 23, 29, 30, 31, 32, 35]"
danish  ,0.632             ,0.638          ,0.635     ,0.316         ,0.319      ,0.318 ,18     ,0.639        ,"[2, 3, 4, 5, 6, 7, 10, 12, 16, 17, 24, 26, 32, 33, 34] ",0.583        ,"[0, 2, 3, 7, 14, 17, 22, 23, 24, 25, 27, 28, 33]                             "
danish  ,0.709             ,0.697          ,0.703     ,0.437         ,0.43       ,0.433 ,19     ,0.639        ,"[0, 1, 3, 6, 7, 9, 13, 28]                             ",0.778        ,"[2, 3, 8, 10, 12, 16, 17, 23, 24, 28, 30, 31, 34]                            "
danish  ,0.643             ,0.629          ,0.636     ,0.3           ,0.293      ,0.297 ,20     ,0.833        ,"[1, 5, 7, 9, 10, 11, 13, 20, 21, 22, 25, 32, 34, 35]   ",0.611        ,"[2, 7, 11, 16, 19, 26]                                                       "
danish  ,0.61              ,0.606          ,0.608     ,0.302         ,0.3        ,0.301 ,21     ,0.722        ,"[4, 5, 8, 12, 13, 15, 20, 21, 23, 25, 30, 33]          ",0.667        ,"[1, 4, 6, 7, 9, 11, 14, 16, 27, 31]                                          "
danish  ,0.68              ,0.603          ,0.639     ,0.364         ,0.322      ,0.342 ,22     ,0.722        ,"[0, 5, 6, 8, 10, 13, 17, 22, 24, 29, 30, 31, 33, 35]   ",0.611        ,"[4, 6, 11, 20, 23, 25, 28, 30, 33, 34]                                       "
danish  ,0.607             ,0.638          ,0.622     ,0.279         ,0.293      ,0.286 ,23     ,0.694        ,"[9, 12, 16, 19, 23, 24, 27, 28, 32]                    ",0.75         ,"[0, 1, 8, 9, 12, 16, 23, 27, 33, 34, 35]                                     "
danish  ,0.656             ,0.629          ,0.642     ,0.303         ,0.29       ,0.296 ,24     ,0.861        ,"[1, 3, 4, 5, 6, 15, 18, 19, 24, 25, 26, 28, 31]        ",0.639        ,"[7, 8, 10, 11, 30]                                                           "
danish  ,0.625             ,0.544          ,0.582     ,0.3           ,0.261      ,0.279 ,25     ,0.75         ,"[0, 3, 4, 5, 8, 9, 10, 17, 19, 21, 26, 28, 30]         ",0.639        ,"[0, 7, 11, 12, 14, 15, 16, 22, 23]                                           "
danish  ,0.611             ,0.547          ,0.577     ,0.32          ,0.287      ,0.302 ,26     ,0.611        ,"[6, 7, 10, 16, 19, 20, 22, 23, 26, 33, 34]             ",0.694        ,"[1, 2, 3, 4, 8, 10, 16, 21, 23, 26, 28, 29, 30, 34]                          "
danish  ,0.732             ,0.694          ,0.712     ,0.392         ,0.371      ,0.381 ,27     ,0.611        ,"[3, 4, 5, 10, 12, 14, 24, 29, 30, 31, 32, 35]          ",0.667        ,"[1, 2, 3, 4, 8, 10, 12, 14, 16, 24, 26, 28, 31, 35]                          "
