time,lang,distributed,seed,word_F,contoid_accuracy,vocoid_accuracy,contoid_reaction,vocoid_reaction
05/25 at 23:54:33,english,True,26,0.3290322580645161,0.6666666666666667,0.6111111111111112,14.365994912600092,11.718239815739217
05/26 at 00:04:15,english,True,27,0.3470031545741325,0.5277777777777778,0.4444444444444444,18.143410684335727,10.981596718118626
05/25 at 20:01:30,english,True,2,0.2751322751322752,0.6388888888888888,0.5555555555555556,14.05219197597745,15.953843894945873
05/25 at 20:11:10,english,True,3,0.3180327868852459,0.5,0.4444444444444444,41.014793858488844,21.367846517644463
05/25 at 20:20:54,english,True,4,0.2523364485981308,0.5833333333333333,0.4722222222222222,16.890564038495263,23.03676530497571
05/25 at 20:30:37,english,True,5,0.3192488262910798,0.5,0.5833333333333333,9.397936734173289,14.305691382732082
05/25 at 20:40:19,english,True,6,0.2664473684210526,0.6111111111111112,0.4722222222222222,53.55947005783482,14.35516414563985
05/25 at 20:50:02,english,True,7,0.38688524590163936,0.36111111111111116,0.4444444444444444,19.10486791586015,8.139670614124153
05/25 at 20:59:44,english,True,8,0.2880523731587561,0.4722222222222222,0.5555555555555556,12.908285192227359,6.51264727496324
05/25 at 21:09:26,english,True,9,0.33726812816188867,0.5277777777777778,0.41666666666666663,4.8521039088867015,10.287851607510772
05/25 at 19:46:53,english,False,0,0.3851590106007068,0.6666666666666667,0.7222222222222222,2.4333638508484,2.8268967765879465
05/25 at 21:23:56,english,False,10,0.367003367003367,0.6388888888888888,0.6944444444444444,11.946151626637318,1.79005754326107
05/25 at 21:33:40,english,False,11,0.3537653239929947,0.6666666666666667,0.6111111111111112,5.649184035893903,4.000906556959016
05/25 at 21:43:22,english,False,12,0.3777777777777777,0.5833333333333333,0.5833333333333333,2.0851020618737706,2.874173715361497
05/25 at 21:53:06,english,False,13,0.40871021775544386,0.4722222222222222,0.6388888888888888,3.96248467144376,3.786722255955945
05/25 at 22:02:47,english,False,14,0.36363636363636365,0.5833333333333333,0.6666666666666667,3.1293576048430456,2.227082872686617
05/25 at 22:12:31,english,False,15,0.4103392568659127,0.6111111111111112,0.6944444444444444,2.3442633085717244,6.033605869503106
05/25 at 22:22:19,english,False,16,0.35208711433756806,0.6388888888888888,0.6944444444444444,1.6187612827102356,1.7029637856752706
05/25 at 22:32:01,english,False,17,0.45565217391304347,0.5277777777777778,0.75,2.043773589040721,8.790304598585662
05/25 at 22:41:44,english,False,18,0.41008403361344536,0.5833333333333333,0.75,1.2457050929215527,7.252850855647906
05/25 at 22:51:24,english,False,19,0.38142620232172475,0.75,0.5277777777777778,1.7504703886849895,5.414873242772031
05/25 at 19:56:37,english,False,1,0.4433164128595601,0.75,0.6944444444444444,1.702311790167081,2.0960653828380957
05/25 at 23:01:08,english,False,20,0.3583061889250814,0.6944444444444444,0.6666666666666667,2.076111793456898,2.6034715314583763
05/25 at 23:10:51,english,False,21,0.3836065573770492,0.6388888888888888,0.5555555555555556,2.4858417949539837,1.8777310964264768
05/25 at 23:20:32,english,False,22,0.4091710758377425,0.41666666666666663,0.6111111111111112,2.8101202352983212,3.008622471331124
05/25 at 23:30:14,english,False,23,0.4623115577889447,0.75,0.7777777777777778,1.9838895025591659,3.2784820003378345
05/25 at 23:39:56,english,False,24,0.36777583187390545,0.6944444444444444,0.6111111111111112,8.055750133899773,1.755403402474309
05/25 at 23:49:40,english,False,25,0.33628318584070793,0.7222222222222222,0.7222222222222222,2.5106507434287293,5.871610135716905
05/25 at 23:59:22,english,False,26,0.31693989071038253,0.8888888888888888,0.5833333333333333,2.8206405711111895,33.72779002048428
05/26 at 00:12:17,english,False,27,0.35750421585160197,0.5555555555555556,0.5833333333333333,1.7955724910787698,2.112736593552413
05/25 at 20:06:17,english,False,2,0.4397905759162304,0.7222222222222222,0.7777777777777778,1.9026419433025752,4.389877501176061
05/25 at 20:16:01,english,False,3,0.4114671163575042,0.6666666666666667,0.6944444444444444,13.638868893404814,2.955762921372631
05/25 at 20:25:43,english,False,4,0.3509369676320273,0.6666666666666667,0.7777777777777778,2.1371229805258785,3.542361289313025
05/25 at 20:35:24,english,False,5,0.4252252252252252,0.7777777777777778,0.6944444444444444,5.867215751638903,2.7613918218964533
05/25 at 20:45:10,english,False,6,0.3979416809605489,0.6944444444444444,0.5833333333333333,16.089429137469068,1.9354470105347115
05/25 at 20:54:50,english,False,7,0.4256756756756757,0.5,0.6666666666666667,2.8158069313852723,1.3875944139116856
05/25 at 21:04:32,english,False,8,0.38550247116968706,0.6388888888888888,0.7222222222222222,3.383617501605155,1.8152099952408869
05/25 at 21:14:14,english,False,9,0.41243862520458263,0.6944444444444444,0.6944444444444444,3.5928406663663086,7.917398646604593
