time,lang,distributed,seed,word_F,contoid_accuracy,vocoid_accuracy,contoid_reaction,vocoid_reaction
05/25 at 14:31:28,danish,True,0,0.273015873015873,0.38888888888888884,0.5,783.9006078965289,6.893563156854907
05/25 at 16:08:30,danish,True,10,0.3096366508688783,0.5555555555555556,0.4444444444444444,182.0045416099247,7.987729788679324
05/25 at 16:18:12,danish,True,11,0.32258064516129026,0.5555555555555556,0.33333333333333337,174.3821166999855,7.230790761671927
05/25 at 16:27:54,danish,True,12,0.2564102564102564,0.5,0.33333333333333337,221.63440680602233,6.368146238464225
05/25 at 16:37#:36,danish,True,13,0.3491027732463295,0.4722222222222222,0.4444444444444444,318.76895163686487,10.742484025291088
05/25 at 16:52:45,danish,True,14,0.40718562874251496,0.5,0.5277777777777778,118.45197918338074,36.79287160728172
05/25 at 17:12:38,danish,True,15,0.3210272873194221,0.5277777777777778,0.4444444444444444,133.86683398776094,14.627465198517687
05/25 at 17:32:33,danish,True,16,0.3597359735973597,0.38888888888888884,0.5,885.4473735656951,10.13115643763301
05/25 at 17:52:25,danish,True,17,0.2683307332293291,0.4444444444444444,0.38888888888888884,19.58613246764838,39.48733289235345
05/25 at 18:05:06,danish,True,18,0.41335453100158986,0.3055555555555556,0.5277777777777778,189.63685569274713,9.49383590963081
05/25 at 18:14:48,danish,True,19,0.3267776096822996,0.36111111111111116,0.5555555555555556,278.67814897499625,24.540797696346583
05/25 at 14:41:08,danish,True,1,0.3417721518987341,0.8333333333333334,0.5555555555555556,106.14661996227066,23.584320526935453
05/25 at 18:24:31,danish,True,20,0.3993115318416523,0.5277777777777778,0.6666666666666667,115.2282763737955,8.854112352612397
05/25 at 18:34:12,danish,True,21,0.32948929159802304,0.4444444444444444,0.4444444444444444,15.788247333310961,9.608460750512698
05/25 at 18:43:52,danish,True,22,0.2727272727272727,0.4722222222222222,0.5,100.98509108759119,6.144035619442495
05/25 at 18:53:37,danish,True,23,0.19932432432432431,0.4722222222222222,0.4722222222222222,61.76885225957679,27.063912628154757
05/25 at 19:03:19,danish,True,24,0.39937106918238996,0.41666666666666663,0.41666666666666663,353.03188801942434,13.687243803110048
05/25 at 19:13:01,danish,True,25,0.30944625407166126,0.41666666666666663,0.4444444444444444,210.77712453942874,9.359875786954458
05/25 at 19:22:41,danish,True,26,0.35220125786163525,0.41666666666666663,0.41666666666666663,260.7556174988059,18.82832969020169
05/25 at 19:32:23,danish,True,27,0.3840245775729647,0.6388888888888888,0.4722222222222222,91.42242809413564,6.412730061868471
05/25 at 14:50:59,danish,True,2,0.39344262295081966,0.4722222222222222,0.5,686.5710449017905,117.1042826274312
05/25 at 15:00:41,danish,True,3,0.4802431610942249,0.5833333333333333,0.41666666666666663,53.69980078571602,8.176602650403014
05/25 at 15:10:22,danish,True,4,0.3514774494556765,0.5277777777777778,0.5,355.2847147049613,9.13456238901545
05/25 at 15:20:03,danish,True,5,0.329073482428115,0.4444444444444444,0.5277777777777778,13.345615709519064,6.385026436840037
05/25 at 15:29:45,danish,True,6,0.32380952380952377,0.5,0.41666666666666663,123.85332392164105,10.38509693026419
