,time,lang,distributed,seed,hidden,rate,momentum,ticks,rand_range,num_train,boundary_precision,boundary_recall,boundary_F,word_precision,word_recall,word_F,contoid_accuracy,vocoid_accuracy,contoid_reaction,vocoid_reaction,contoid_std,vocoid_std,contoid_rts,vocoid_rts,contoid_errors,vocoid_errors
0,05/25 at 14:31:28,danish,True,0,80,0.1,0.95,1,0.25,696692,0.6130030959752322,0.6449511400651465,0.6285714285714286,0.26625386996904027,0.28013029315960913,0.273015873015873,0.4722222222222222,0.4444444444444444,783.9006078965289,6.893563156854907,,,,,"[23.11253, 30.333400000000005, 37.955929999999995, 21.07642, 29.886649999999996, 22.817589999999996, 23.73605, 38.35591, 24.01862, 25.5322, 28.253529999999998, 29.92334, 17.77585, 14.87011, 14.9369, 13.81634, 24.696639999999995, 15.39948, 24.785410000000006, 21.77548, 20.216450000000002, 20.08245, 16.40969, 22.55366, 13.11941, 12.72673, 13.553700000000001, 22.84922, 17.08661, 25.159679999999998, 23.838079999999998, 23.45436, 15.890690000000001, 21.49405, 20.632020000000004, 14.40709, 21.03688, 12.650609999999999, 11.820440000000001, 23.93431, 14.60513, 24.036869999999997, 23.18783, 15.749189999999999, 14.991190000000001, 23.112599999999997, 13.21184, 19.394090000000002, 22.201800000000002, 13.51034, 19.842270000000003, 14.24949, 14.33557, 13.833400000000001, 19.77704, 13.073179999999999, 12.970130000000001, 23.88249, 19.78789, 21.22315, 20.10544, 13.22226, 14.63698, 14.364, 15.376500000000002, 15.377939999999999, 21.70148, 13.50559, 24.87092, 22.811870000000003, 21.52484, 22.427280000000003]","[44.21284, 40.02324, 29.4961, 22.51898, 27.970280000000002, 22.42711, 24.37345, 27.024330000000003, 21.385509999999996, 27.691200000000002, 31.44089, 21.39414, 18.148880000000002, 16.76014, 17.27977, 20.47438, 23.421870000000002, 15.39512, 26.55635, 22.466699999999996, 19.348660000000002, 22.840300000000003, 15.59315, 24.42544, 13.465200000000001, 17.16646, 13.05853, 22.763979999999997, 17.18216, 25.12334, 22.53679, 23.221690000000002, 15.947709999999999, 20.396420000000003, 21.781879999999997, 13.505680000000002, 21.36387, 12.81109, 11.92353, 24.765800000000002, 15.22429, 23.19236, 23.171339999999997, 15.278529999999998, 14.409419999999999, 22.124080000000003, 15.059050000000001, 21.89243, 23.23366, 13.86074, 20.86362, 13.765400000000001, 14.18666, 13.31165, 22.43202, 13.898150000000001, 14.89077, 23.42695, 22.61604, 21.67725, 21.48892, 13.84856, 13.932649999999999, 13.6471, 14.9114, 16.02083, 21.77998, 14.33653, 24.404559999999996, 23.46612, 22.55494, 25.02627]"
1,05/25 at 16:08:30,danish,True,10,80,0.1,0.95,1,0.25,696692,0.5920245398773006,0.6286644951140065,0.6097946287519748,0.3006134969325153,0.31921824104234525,0.3096366508688783,0.5555555555555556,0.5,182.0045416099247,7.987729788679324,,,,,"[37.33838, 34.64196, 39.74305, 27.39331, 29.37092, 31.166050000000002, 27.080170000000003, 33.25564000000001, 26.51228, 29.87616, 25.25681, 20.205869999999997, 14.231350000000003, 16.644029999999997, 16.16507, 15.62576, 23.935459999999996, 13.65652, 23.00668, 26.65404, 19.94227, 22.75027, 16.08687, 22.36728, 12.89078, 12.92061, 13.736180000000001, 23.904960000000003, 17.84833, 25.770010000000003, 23.99593, 23.27159, 15.78072, 21.26277, 20.74239, 14.541170000000001, 20.99917, 12.63479, 11.906379999999999, 23.904870000000003, 14.557949999999998, 23.80466, 23.11336, 15.75874, 14.97768, 23.12795, 13.27014, 19.38621, 22.195670000000003, 13.52597, 19.84477, 14.252699999999997, 14.33158, 13.84553, 19.76191, 13.07366, 12.95514, 23.87653, 19.797189999999997, 21.21803, 20.12379, 13.22226, 14.63032, 14.35939, 15.37488, 15.379919999999998, 21.694889999999997, 13.506, 24.866310000000002, 22.8052, 21.51786, 22.42056]","[43.9253, 37.59164, 33.796229999999994, 18.242130000000003, 30.093809999999998, 27.237669999999998, 27.99617, 32.99883, 20.65053, 25.03802, 30.65795, 22.53818, 19.58851, 19.61361, 20.11923, 20.13164, 23.08075, 14.632390000000001, 24.35768, 22.57936, 19.81901, 23.14403, 14.523969999999998, 22.03607, 13.229880000000001, 16.45081, 12.61973, 23.364620000000002, 17.355809999999998, 25.0755, 22.46392, 23.04573, 16.28867, 20.33439, 22.36736, 13.72486, 21.12809, 12.7016, 11.94877, 24.872239999999998, 15.274379999999999, 23.276269999999997, 23.293309999999998, 15.206, 14.3738, 22.157939999999996, 14.799209999999999, 21.845039999999997, 23.22842, 13.88118, 20.884529999999998, 13.80559, 14.194289999999999, 13.34693, 22.428300000000004, 13.91863, 14.785820000000001, 23.424280000000003, 22.64094, 21.68647, 21.50188, 13.85334, 13.924909999999999, 13.64048, 14.9046, 16.02615, 21.77862, 14.34967, 24.406040000000004, 23.465580000000003, 22.55604, 25.03044]"
2,05/25 at 16:18:12,danish,True,11,80,0.1,0.95,1,0.25,696692,0.6162790697674418,0.6905537459283387,0.6513056835637481,0.30523255813953487,0.34201954397394135,0.32258064516129026,0.38888888888888884,0.41666666666666663,174.3821166999855,7.230790761671927,,,,,"[23.902169999999998, 28.43163, 27.540110000000002, 23.43998, 23.57545, 24.48503, 29.510959999999997, 27.720110000000002, 26.266460000000002, 28.36507, 24.526179999999997, 17.35559, 15.533470000000001, 18.66669, 16.68071, 14.7963, 21.667669999999998, 13.3344, 23.119419999999998, 25.969099999999997, 20.0362, 23.18379, 15.98559, 22.2741, 13.0993, 12.66611, 13.84916, 23.54417, 17.44222, 25.430580000000003, 24.17884, 23.78102, 15.841329999999997, 21.207520000000002, 20.69926, 14.5054, 21.06631, 12.536100000000001, 11.88941, 23.98194, 14.625079999999999, 23.74632, 23.07371, 15.771079999999998, 14.9906, 23.068209999999997, 13.246479999999998, 19.407490000000003, 22.1853, 13.52929, 19.86488, 14.25728, 14.34167, 13.850909999999999, 19.756680000000003, 13.076300000000002, 12.96396, 23.876719999999995, 19.79111, 21.216210000000004, 20.12408, 13.22468, 14.63051, 14.36, 15.375349999999997, 15.38014, 21.69547, 13.50339, 24.87128, 22.81018, 21.522090000000002, 22.426170000000003]","[29.938489999999998, 24.55372, 28.1498, 18.63518, 31.121290000000002, 23.28571, 25.81028, 33.035799999999995, 21.424749999999996, 26.42518, 29.30813, 22.070949999999996, 17.442, 17.9394, 17.3294, 19.25568, 22.473019999999998, 15.493569999999998, 26.30967, 22.35817, 19.51419, 22.709120000000002, 15.449390000000001, 23.095979999999997, 13.73103, 16.87951, 12.913520000000002, 23.270699999999998, 17.47707, 25.2997, 22.663949999999996, 23.01097, 15.994370000000002, 20.38194, 22.09891, 13.59614, 21.22404, 12.76593, 11.953479999999999, 24.78442, 15.221670000000001, 23.2402, 23.27758, 15.216170000000002, 14.393270000000001, 22.13165, 14.831420000000001, 21.86038, 23.2468, 13.86948, 20.87982, 13.79073, 14.194, 13.338780000000002, 22.42585, 13.910469999999998, 14.79898, 23.429630000000003, 22.63243, 21.68573, 21.49729, 13.85141, 13.928629999999998, 13.644009999999998, 14.910140000000002, 16.02404, 21.77955, 14.34704, 24.4056, 23.46777, 22.55519, 25.02676]"
3,05/25 at 16:27:54,danish,True,12,80,0.1,0.95,1,0.25,696692,0.6151079136690647,0.5570032573289903,0.5846153846153845,0.2697841726618705,0.24429967426710097,0.2564102564102564,0.5,0.4722222222222222,221.63440680602233,6.368146238464225,,,,,"[32.70608, 30.327690000000004, 28.55511, 23.45655, 23.61503, 23.134089999999997, 28.46294, 27.44953, 27.66237, 29.177909999999997, 23.30164, 17.092740000000003, 14.91907, 16.85501, 15.90222, 14.48039, 22.68875, 13.51937, 24.63195, 25.928579999999997, 20.73596, 22.6235, 16.20155, 22.38698, 13.160680000000001, 12.75019, 13.961219999999999, 23.562980000000003, 17.437240000000003, 25.24991, 24.41731, 23.84338, 15.76556, 21.004530000000003, 20.70891, 14.52698, 21.063209999999998, 12.54334, 11.88557, 23.93606, 14.61459, 23.702280000000002, 23.05247, 15.778970000000001, 14.972140000000001, 23.135599999999997, 13.232999999999999, 19.390069999999998, 22.22039, 13.52364, 19.852899999999998, 14.254359999999998, 14.343169999999999, 13.848419999999999, 19.76028, 13.07939, 12.96529, 23.858320000000003, 19.79485, 21.21571, 20.12325, 13.223859999999998, 14.632740000000002, 14.361699999999999, 15.375890000000002, 15.37999, 21.69501, 13.5034, 24.868199999999998, 22.8086, 21.52185, 22.424129999999998]","[41.25528, 28.261900000000004, 26.11109, 21.91928, 26.18591, 24.1725, 24.70484, 31.74681, 23.96244, 30.20326, 33.529560000000004, 26.812340000000003, 20.21639, 15.42456, 16.13843, 18.3678, 23.26162, 15.41048, 25.639260000000004, 22.097839999999998, 19.390970000000003, 20.54467, 16.100599999999996, 22.98588, 13.15008, 17.05462, 13.01067, 22.58716, 17.489369999999997, 25.34391, 23.36893, 23.179579999999998, 15.798309999999999, 20.41267, 21.951590000000003, 13.495489999999998, 21.370759999999997, 12.65706, 11.97292, 24.820330000000002, 15.163350000000001, 23.139400000000002, 23.235300000000002, 15.28791, 14.407449999999999, 22.117520000000003, 14.83446, 21.880969999999998, 23.25002, 13.87434, 20.876880000000003, 13.78211, 14.21931, 13.331510000000002, 22.44272, 13.91243, 14.81543, 23.41838, 22.641730000000003, 21.687229999999996, 21.510019999999997, 13.857669999999999, 13.930860000000001, 13.64436, 14.90754, 16.018990000000002, 21.78054, 14.34772, 24.407590000000003, 23.4668, 22.55828, 25.02678]"
4,05/25 at 16:37:36,danish,True,13,80,0.1,0.95,1,0.25,696692,0.6339869281045751,0.6319218241042345,0.632952691680261,0.34967320261437906,0.3485342019543974,0.3491027732463295,0.5,0.5,318.76895163686487,10.742484025291088,,,,,"[27.30966, 32.93983, 42.72011, 26.911990000000003, 35.750370000000004, 32.9426, 20.65072, 40.832359999999994, 25.803240000000002, 30.479059999999997, 24.74159, 23.41654, 15.487850000000002, 15.220540000000002, 15.535449999999999, 15.694989999999999, 24.93858, 15.14312, 26.14426, 25.645110000000003, 21.452430000000003, 21.0415, 16.32969, 21.9833, 13.32525, 13.33456, 13.70543, 23.34014, 17.301849999999998, 25.673759999999998, 24.185169999999996, 23.31199, 15.70753, 21.06192, 20.798430000000003, 14.58372, 21.0989, 12.630799999999999, 11.899460000000001, 23.77764, 14.56209, 23.87293, 23.18096, 15.738290000000001, 14.94864, 23.202280000000002, 13.275360000000001, 19.36233, 22.268780000000003, 13.48928, 19.81604, 14.24392, 14.341569999999999, 13.8437, 19.77274, 13.08489, 12.96071, 23.85753, 19.8071, 21.23431, 20.12395, 13.22988, 14.639309999999998, 14.36702, 15.38036, 15.384609999999999, 21.70646, 13.51172, 24.86682, 22.81308, 21.52202, 22.424049999999998]","[19.15157, 25.92738, 27.3786, 20.34955, 27.261110000000002, 17.74731, 21.28033, 25.389310000000002, 19.680889999999998, 26.60146, 29.361620000000002, 20.46821, 17.09569, 15.373740000000002, 16.04554, 19.38892, 24.03239, 16.26341, 26.70859, 23.134800000000002, 19.40775, 22.75973, 16.20364, 23.940409999999993, 13.92388, 17.77198, 13.27255, 22.94257, 17.26798, 25.18475, 22.696689999999997, 23.02844, 15.84692, 20.39147, 21.862040000000004, 13.45736, 21.27118, 12.76954, 11.91071, 24.79759, 15.209269999999998, 23.17524, 23.18473, 15.27369, 14.40756, 22.120040000000003, 15.179120000000001, 21.86352, 23.212, 13.8606, 20.874950000000002, 13.76748, 14.18647, 13.313790000000001, 22.42898, 13.89832, 14.95315, 23.42075, 22.61782, 21.67209, 21.48136, 13.84605, 13.931050000000003, 13.64611, 14.9097, 16.02005, 21.77693, 14.33075, 24.40493, 23.46784, 22.55657, 25.02729]"
5,05/25 at 16:52:45,danish,True,14,80,0.1,0.95,1,0.25,696692,0.6398891966759003,0.752442996742671,0.6916167664670658,0.3767313019390582,0.44299674267100975,0.40718562874251496,0.5,0.4722222222222222,118.45197918338074,36.79287160728172,,,,,"[32.3784, 28.07537, 28.59894, 22.13355, 28.36537, 25.800620000000002, 29.984189999999998, 35.41354, 27.14606, 29.34668, 25.82673, 20.98959, 15.12935, 17.56499, 17.239649999999997, 16.61892, 22.890819999999998, 13.39538, 22.57949, 26.75912, 19.6561, 22.81886, 15.685540000000001, 22.04584, 12.962670000000001, 13.143519999999999, 13.55057, 23.787879999999998, 17.72578, 25.72132, 23.8809, 23.24409, 15.938080000000001, 21.36812, 20.822229999999998, 14.59101, 20.98442, 12.59314, 11.91109, 23.9425, 14.602920000000001, 23.8301, 23.13258, 15.734359999999999, 14.96184, 23.09988, 13.294060000000002, 19.377350000000003, 22.18376, 13.52102, 19.85346, 14.260060000000001, 14.33202, 13.85606, 19.75423, 13.08267, 12.95373, 23.879459999999998, 19.79819, 21.22022, 20.127489999999998, 13.22617, 14.628499999999999, 14.357869999999998, 15.37342, 15.381359999999999, 21.70013, 13.507990000000001, 24.87145, 22.809329999999996, 21.520919999999997, 22.42518]","[33.797799999999995, 24.52022, 23.34411, 19.6318, 23.76972, 23.58755, 24.84675, 29.92556, 24.557449999999996, 31.838, 34.77087, 29.085389999999997, 21.00235, 15.40591, 15.731819999999999, 17.00491, 22.5893, 14.56909, 26.374130000000005, 22.5846, 19.603089999999998, 19.63953, 16.24355, 23.51532, 13.208699999999999, 16.41507, 12.76257, 22.50722, 17.489910000000002, 25.47201, 23.86443, 23.525080000000003, 15.81607, 20.324130000000004, 21.92836, 13.60018, 21.406299999999995, 12.650210000000001, 12.042639999999999, 24.82694, 15.220749999999999, 23.080769999999998, 23.18042, 15.252780000000001, 14.360009999999999, 22.12186, 14.710289999999999, 21.90887, 23.272980000000004, 13.87687, 20.877499999999998, 13.790410000000001, 14.21106, 13.343169999999999, 22.435869999999998, 13.91766, 14.78523, 23.42453, 22.63429, 21.69077, 21.51603, 13.86048, 13.928630000000002, 13.64282, 14.908309999999998, 16.01944, 21.780849999999997, 14.354009999999999, 24.40748, 23.46713, 22.55479, 25.02205]"
6,05/25 at 17:12:38,danish,True,15,80,0.1,0.95,1,0.25,696692,0.6518987341772152,0.6710097719869706,0.6613162118780096,0.31645569620253167,0.3257328990228013,0.3210272873194221,0.5,0.4444444444444444,133.86683398776094,14.627465198517687,,,,,"[29.52776, 27.970750000000002, 31.58444, 23.00267, 23.99286, 28.54737, 28.128780000000003, 28.696610000000003, 28.22784, 32.72363, 26.07134, 16.706780000000002, 15.512920000000001, 19.28182, 17.10059, 14.351569999999999, 23.35163, 13.33533, 23.102420000000002, 27.046090000000003, 20.50879, 24.080350000000003, 15.72984, 22.16709, 12.90489, 12.646740000000001, 13.877189999999999, 23.970570000000002, 17.89725, 25.714869999999998, 23.770790000000005, 23.512729999999998, 15.787959999999998, 21.254299999999997, 20.70094, 14.49926, 20.964470000000002, 12.59885, 11.901790000000002, 23.93695, 14.567520000000002, 23.771160000000002, 23.055, 15.803139999999999, 15.00554, 23.11933, 13.231250000000001, 19.41037, 22.21218, 13.53312, 19.860750000000003, 14.25153, 14.342500000000001, 13.84477, 19.76208, 13.07285, 12.967279999999999, 23.869200000000003, 19.791469999999997, 21.20844, 20.125519999999995, 13.22457, 14.631730000000001, 14.360320000000002, 15.375900000000001, 15.382490000000002, 21.69242, 13.501909999999999, 24.872510000000002, 22.80987, 21.522239999999996, 22.4227]","[23.72268, 23.323439999999998, 27.229029999999998, 19.186410000000002, 27.810450000000003, 18.53623, 21.00773, 27.80207, 19.515649999999997, 25.346469999999997, 28.20913, 21.27739, 17.17106, 15.5571, 16.15245, 18.293419999999998, 24.271299999999997, 16.42085, 26.29241, 23.033430000000003, 19.55046, 22.62382, 16.08814, 23.31481, 13.94751, 17.13727, 13.24041, 22.961519999999997, 17.26592, 25.249200000000002, 22.777610000000003, 22.927510000000005, 15.863, 20.38981, 22.01649, 13.48823, 21.265679999999996, 12.73264, 11.924199999999999, 24.813850000000002, 15.224590000000001, 23.19916, 23.24897, 15.26262, 14.41126, 22.12351, 14.84022, 21.865199999999998, 23.22399, 13.87584, 20.89237, 13.78479, 14.19849, 13.33011, 22.437170000000002, 13.90881, 14.809700000000001, 23.43094, 22.63469, 21.68496, 21.491619999999998, 13.85121, 13.932179999999999, 13.64666, 14.90901, 16.0204, 21.77485, 14.344730000000002, 24.404579999999996, 23.466820000000002, 22.55488, 25.02444]"
7,05/25 at 17:32:33,danish,True,16,80,0.1,0.95,1,0.25,696692,0.6722408026755853,0.6547231270358306,0.6633663366336633,0.36454849498327757,0.3550488599348534,0.3597359735973597,0.4444444444444444,0.4722222222222222,885.4473735656951,10.13115643763301,,,,,"[21.57248, 28.54707, 30.11045, 23.31636, 23.82932, 29.44858, 30.935429999999997, 29.72111, 31.950870000000002, 34.23599, 24.94477, 16.96666, 15.9637, 17.821930000000002, 17.670229999999997, 14.21577, 26.98968, 16.29572, 25.885870000000004, 24.742469999999997, 20.86682, 23.27873, 15.99306, 22.89981, 13.16928, 12.851609999999999, 14.00216, 22.95843, 16.81917, 24.753410000000002, 24.18799, 23.83967, 15.84853, 21.168460000000003, 20.626330000000003, 14.441839999999997, 21.0821, 12.48455, 11.82235, 24.05301, 14.626530000000002, 23.72702, 23.06819, 15.83525, 15.013209999999999, 23.093929999999997, 13.237820000000001, 19.408849999999997, 22.18461, 13.54558, 19.87117, 14.25505, 14.35258, 13.84285, 19.76034, 13.07578, 12.967680000000001, 23.876479999999997, 19.791880000000003, 21.21548, 20.12714, 13.226140000000001, 14.63437, 14.36317, 15.37545, 15.376699999999998, 21.69479, 13.50307, 24.87137, 22.8095, 21.52374, 22.42666]","[28.954210000000003, 25.12734, 25.64907, 20.23841, 25.07174, 21.97655, 23.503079999999997, 29.68347, 22.693230000000003, 28.852619999999998, 30.49627, 22.25958, 18.42145, 16.0347, 17.15471, 18.50289, 24.14324, 15.33625, 25.55747, 22.65844, 19.259249999999998, 22.51548, 15.85265, 23.484199999999998, 13.55005, 16.52238, 13.02661, 23.04363, 17.510089999999998, 25.369859999999996, 22.68905, 22.93646, 15.927340000000001, 20.46493, 21.973679999999998, 13.521180000000001, 21.263830000000002, 12.74858, 11.934740000000001, 24.820179999999997, 15.20333, 23.21894, 23.240449999999996, 15.275760000000002, 14.40797, 22.152690000000003, 14.75339, 21.86845, 23.24493, 13.88028, 20.88942, 13.79121, 14.20357, 13.33391, 22.446519999999996, 13.91324, 14.79041, 23.42846, 22.638840000000002, 21.686799999999998, 21.49804, 13.853729999999999, 13.93394, 13.64786, 14.909400000000002, 16.02186, 21.77682, 14.3506, 24.40693, 23.4675, 22.55629, 25.026049999999998]"
8,05/25 at 17:52:25,danish,True,17,80,0.1,0.95,1,0.25,696692,0.5898203592814372,0.6416938110749185,0.6146645865834633,0.25748502994011974,0.28013029315960913,0.2683307332293291,0.6388888888888888,0.5833333333333333,19.58613246764838,39.48733289235345,,,,,"[34.38279, 30.6983, 37.44137, 23.09373, 29.75631, 29.39301, 25.81056, 35.96035, 26.97135, 30.172, 26.45089, 21.11422, 16.07658, 17.60879, 17.15822, 15.91496, 24.1329, 13.70025, 23.33455, 26.10012, 20.44079, 22.75522, 15.65727, 22.171749999999996, 12.73122, 12.818, 13.71273, 23.790149999999997, 17.7509, 25.51373, 23.8366, 23.29501, 15.827300000000001, 21.203540000000004, 20.76717, 14.53169, 20.962419999999998, 12.61832, 11.88648, 23.92128, 14.559170000000002, 23.80976, 23.10801, 15.77393, 14.986819999999998, 23.138399999999997, 13.26719, 19.388250000000003, 22.198790000000002, 13.524740000000001, 19.84483, 14.24903, 14.32964, 13.841059999999999, 19.761699999999998, 13.072030000000002, 12.95639, 23.869220000000002, 19.79259, 21.21446, 20.11881, 13.22117, 14.62894, 14.35729, 15.37278, 15.37909, 21.694450000000003, 13.504589999999999, 24.864590000000003, 22.80268, 21.516379999999998, 22.419490000000003]","[48.00047, 36.75332, 26.057309999999998, 21.32385, 25.609, 24.98547, 26.87054, 31.524279999999997, 22.427020000000002, 27.669169999999998, 34.63123, 27.64365, 21.06193, 17.08137, 17.19479, 17.13042, 22.39198, 14.94523, 25.260569999999998, 22.21008, 19.98451, 20.60393, 15.412019999999998, 22.20416, 13.014009999999999, 15.336, 12.83829, 22.61584, 17.38983, 25.197010000000002, 23.520539999999997, 23.46286, 16.0244, 20.364559999999997, 22.17289, 13.62636, 21.40731, 12.64682, 12.00577, 24.86888, 15.213689999999998, 23.150339999999996, 23.2453, 15.251949999999999, 14.38626, 22.112550000000002, 14.780119999999998, 21.874899999999997, 23.23786, 13.8736, 20.88198, 13.78905, 14.21884, 13.339490000000001, 22.4359, 13.9164, 14.812980000000001, 23.418380000000003, 22.64186, 21.68801, 21.51282, 13.85788, 13.9265, 13.64106, 14.906120000000001, 16.02046, 21.78106, 14.351099999999999, 24.40822, 23.46726, 22.557380000000002, 25.027059999999995]"
9,05/25 at 18:05:06,danish,True,18,80,0.1,0.95,1,0.25,696692,0.6832298136645962,0.7166123778501629,0.6995230524642289,0.40372670807453415,0.4234527687296417,0.41335453100158986,0.4722222222222222,0.5555555555555556,189.63685569274713,9.49383590963081,,,,,"[29.933619999999998, 33.674730000000004, 39.08132, 27.176740000000002, 27.927339999999997, 33.174949999999995, 31.30291, 31.751189999999998, 30.42021, 33.36766, 27.130869999999998, 16.45053, 15.623249999999999, 20.15036, 18.30556, 15.905169999999998, 25.45943, 15.21398, 23.78039, 26.77459, 20.2333, 23.683329999999998, 15.360890000000001, 22.11795, 12.914369999999998, 13.12845, 13.54965, 23.419649999999997, 17.42206, 25.380070000000003, 23.972419999999996, 23.369799999999998, 15.943829999999997, 21.27867, 20.838630000000002, 14.609110000000001, 20.988329999999998, 12.528789999999999, 11.895140000000001, 23.978799999999996, 14.58209, 23.79561, 23.13503, 15.75406, 14.961490000000001, 23.099779999999996, 13.291149999999998, 19.38528, 22.18123, 13.5285, 19.83519, 14.26351, 14.3397, 13.852559999999999, 19.7519, 13.075860000000002, 12.95434, 23.87703, 19.79619, 21.21547, 20.1263, 13.223510000000001, 14.62686, 14.35627, 15.371970000000001, 15.37958, 21.695619999999998, 13.505450000000002, 24.86601, 22.803030000000003, 21.51746, 22.42134]","[31.34115, 28.868389999999998, 26.921210000000002, 21.297800000000002, 27.336529999999996, 19.28791, 22.0219, 26.0786, 19.16553, 25.84936, 30.75419, 20.80547, 17.86195, 16.065379999999998, 16.67846, 19.172449999999998, 23.565469999999998, 16.019360000000002, 26.65113, 22.79429, 19.5123, 22.65685, 15.844570000000001, 23.80716, 13.695680000000001, 16.93562, 13.24498, 22.894479999999998, 17.184710000000003, 25.061680000000003, 22.75741, 23.15182, 15.87673, 20.377589999999998, 21.88674, 13.48803, 21.31145, 12.76747, 11.925839999999999, 24.822579999999995, 15.224879999999999, 23.16134, 23.188060000000004, 15.28345, 14.41427, 22.12599, 14.8673, 21.880879999999998, 23.2234, 13.87271, 20.89425, 13.775739999999999, 14.19535, 13.32246, 22.44361, 13.906960000000002, 14.820800000000002, 23.43133, 22.62811, 21.68325, 21.4917, 13.850240000000001, 13.93304, 13.64705, 14.910200000000001, 16.02166, 21.777810000000002, 14.34439, 24.4043, 23.466130000000003, 22.554360000000003, 25.02521]"
