time             ,lang   ,distributed,seed,word_F             ,contoid_accuracy   ,vocoid_accuracy   
05/25 at 22:12:31,english,False      ,15  ,0.4103392568659127 ,0.6111111111111112 ,0.6944444444444444
05/25 at 22:22:19,english,False      ,16  ,0.35208711433756806,0.6388888888888888 ,0.6944444444444444
05/25 at 22:32:01,english,False      ,17  ,0.45565217391304347,0.5277777777777778 ,0.75              
05/25 at 22:41:44,english,False      ,18  ,0.41008403361344536,0.5833333333333333 ,0.75              
05/25 at 22:51:24,english,False      ,19  ,0.38142620232172475,0.75               ,0.5277777777777778
05/25 at 19:56:37,english,False      ,1   ,0.4433164128595601 ,0.75               ,0.6944444444444444
05/25 at 23:01:08,english,False      ,20  ,0.3583061889250814 ,0.6944444444444444 ,0.6666666666666667
05/25 at 23:10:51,english,False      ,21  ,0.3836065573770492 ,0.6388888888888888 ,0.5555555555555556
05/25 at 23:20:32,english,False      ,22  ,0.4091710758377425 ,0.41666666666666663,0.6111111111111112
05/25 at 23:30:14,english,False      ,23  ,0.4623115577889447 ,0.75               ,0.7777777777777778
05/25 at 23:39:56,english,False      ,24  ,0.36777583187390545,0.6944444444444444 ,0.6111111111111112
05/25 at 23:49:40,english,False      ,25  ,0.33628318584070793,0.7222222222222222 ,0.7222222222222222
05/25 at 23:59:22,english,False      ,26  ,0.31693989071038253,0.8888888888888888 ,0.5833333333333333
05/26 at 00:12:17,english,False      ,27  ,0.35750421585160197,0.5555555555555556 ,0.5833333333333333
05/25 at 20:06:17,english,False      ,2   ,0.4397905759162304 ,0.7222222222222222 ,0.7777777777777778
05/25 at 20:16:01,english,False      ,3   ,0.4114671163575042 ,0.6666666666666667 ,0.6944444444444444
05/25 at 20:25:43,english,False      ,4   ,0.3509369676320273 ,0.6666666666666667 ,0.7777777777777778
05/25 at 20:35:24,english,False      ,5   ,0.4252252252252252 ,0.7777777777777778 ,0.6944444444444444
05/25 at 20:45:10,english,False      ,6   ,0.3979416809605489 ,0.6944444444444444 ,0.5833333333333333
05/25 at 20:54:50,english,False      ,7   ,0.4256756756756757 ,0.5                ,0.6666666666666667
05/25 at 21:04:32,english,False      ,8   ,0.38550247116968706,0.6388888888888888 ,0.7222222222222222
05/25 at 21:14:14,english,False      ,9   ,0.41243862520458263,0.6944444444444444 ,0.6944444444444444
